date,province,city,category,commodity,price,usdprice,priceflag,pricetype
15/01/2004,BALOCHISTAN,Quetta,cereals and tubers,"Rice (basmati, broken)",20.00,0.3499,actual,Retail
15/01/2004,BALOCHISTAN,Quetta,cereals and tubers,Wheat flour,13.00,0.2274,actual,Retail
15/01/2004,KHYBER PAKHTUNKHWA,Peshawar,cereals and tubers,"Rice (basmati, broken)",17.59,0.3076,actual,Retail
15/01/2004,KHYBER PAKHTUNKHWA,Peshawar,cereals and tubers,Wheat flour,12.00,0.2099,actual,Retail
15/01/2004,PUNJAB,Lahore,cereals and tubers,"Rice (basmati, broken)",19.15,0.335,actual,Retail
15/01/2004,PUNJAB,Lahore,cereals and tubers,Wheat flour,11.75,0.2056,actual,Retail
15/01/2004,PUNJAB,Multan,cereals and tubers,Wheat flour,12.00,0.2099,actual,Retail
15/01/2004,SINDH,Karachi,cereals and tubers,"Rice (basmati, broken)",18.62,0.3258,actual,Retail
15/01/2004,SINDH,Karachi,cereals and tubers,Wheat flour,14.01,0.245,actual,Retail
15/02/2004,BALOCHISTAN,Quetta,cereals and tubers,"Rice (basmati, broken)",20.00,0.3486,actual,Retail
15/02/2004,BALOCHISTAN,Quetta,cereals and tubers,Wheat flour,13.00,0.2266,actual,Retail
15/02/2004,KHYBER PAKHTUNKHWA,Peshawar,cereals and tubers,"Rice (basmati, broken)",17.00,0.2963,actual,Retail
15/02/2004,KHYBER PAKHTUNKHWA,Peshawar,cereals and tubers,Wheat flour,12.21,0.2128,actual,Retail
15/02/2004,PUNJAB,Lahore,cereals and tubers,"Rice (basmati, broken)",19.15,0.3338,actual,Retail
15/02/2004,PUNJAB,Lahore,cereals and tubers,Wheat flour,11.75,0.2048,actual,Retail
15/02/2004,PUNJAB,Multan,cereals and tubers,"Rice (basmati, broken)",19.00,0.3312,actual,Retail
15/02/2004,PUNJAB,Multan,cereals and tubers,Wheat flour,12.50,0.2179,actual,Retail
15/02/2004,SINDH,Karachi,cereals and tubers,"Rice (basmati, broken)",18.62,0.3245,actual,Retail
15/02/2004,SINDH,Karachi,cereals and tubers,Wheat flour,14.56,0.2538,actual,Retail
15/03/2004,BALOCHISTAN,Quetta,cereals and tubers,"Rice (basmati, broken)",20.00,0.3489,actual,Retail
15/03/2004,BALOCHISTAN,Quetta,cereals and tubers,Wheat flour,14.25,0.2486,actual,Retail
15/03/2004,KHYBER PAKHTUNKHWA,Peshawar,cereals and tubers,"Rice (basmati, broken)",17.00,0.2966,actual,Retail
15/03/2004,KHYBER PAKHTUNKHWA,Peshawar,cereals and tubers,Wheat flour,12.50,0.2181,actual,Retail
15/03/2004,PUNJAB,Lahore,cereals and tubers,"Rice (basmati, broken)",19.47,0.3397,actual,Retail
15/03/2004,PUNJAB,Lahore,cereals and tubers,Wheat flour,11.75,0.205,actual,Retail
15/03/2004,PUNJAB,Multan,cereals and tubers,"Rice (basmati, broken)",19.00,0.3315,actual,Retail
15/03/2004,PUNJAB,Multan,cereals and tubers,Wheat flour,12.82,0.2237,actual,Retail
15/03/2004,SINDH,Karachi,cereals and tubers,"Rice (basmati, broken)",18.62,0.3248,actual,Retail
15/03/2004,SINDH,Karachi,cereals and tubers,Wheat flour,15.12,0.2639,actual,Retail
15/04/2004,BALOCHISTAN,Quetta,cereals and tubers,"Rice (basmati, broken)",21.00,0.3675,actual,Retail
15/04/2004,BALOCHISTAN,Quetta,cereals and tubers,Wheat flour,12.50,0.2187,actual,Retail
15/04/2004,KHYBER PAKHTUNKHWA,Peshawar,cereals and tubers,"Rice (basmati, broken)",17.34,0.3033,actual,Retail
15/04/2004,KHYBER PAKHTUNKHWA,Peshawar,cereals and tubers,Wheat flour,12.00,0.21,actual,Retail
15/04/2004,PUNJAB,Lahore,cereals and tubers,"Rice (basmati, broken)",19.79,0.3463,actual,Retail
15/04/2004,PUNJAB,Lahore,cereals and tubers,Wheat flour,11.76,0.2058,actual,Retail
15/04/2004,PUNJAB,Multan,cereals and tubers,"Rice (basmati, broken)",19.00,0.3325,actual,Retail
15/04/2004,PUNJAB,Multan,cereals and tubers,Wheat flour,12.00,0.21,actual,Retail
15/04/2004,SINDH,Karachi,cereals and tubers,"Rice (basmati, broken)",18.62,0.3258,actual,Retail
15/04/2004,SINDH,Karachi,cereals and tubers,Wheat flour,13.09,0.229,actual,Retail
15/05/2004,BALOCHISTAN,Quetta,cereals and tubers,"Rice (basmati, broken)",21.00,0.3647,actual,Retail
15/05/2004,BALOCHISTAN,Quetta,cereals and tubers,Wheat flour,13.25,0.2301,actual,Retail
15/05/2004,KHYBER PAKHTUNKHWA,Peshawar,cereals and tubers,"Rice (basmati, broken)",17.50,0.3039,actual,Retail
15/05/2004,PUNJAB,Lahore,cereals and tubers,"Rice (basmati, broken)",19.79,0.3436,actual,Retail
15/05/2004,PUNJAB,Lahore,cereals and tubers,Wheat flour,12.07,0.2096,actual,Retail
15/05/2004,PUNJAB,Multan,cereals and tubers,"Rice (basmati, broken)",19.00,0.3299,actual,Retail
15/05/2004,PUNJAB,Multan,cereals and tubers,Wheat flour,12.00,0.2084,actual,Retail
15/05/2004,SINDH,Karachi,cereals and tubers,"Rice (basmati, broken)",18.62,0.3233,actual,Retail
15/05/2004,SINDH,Karachi,cereals and tubers,Wheat flour,14.94,0.2594,actual,Retail
15/06/2004,BALOCHISTAN,Quetta,cereals and tubers,"Rice (basmati, broken)",21.00,0.3645,actual,Retail
15/06/2004,BALOCHISTAN,Quetta,cereals and tubers,Wheat flour,13.40,0.2326,actual,Retail
15/06/2004,KHYBER PAKHTUNKHWA,Peshawar,cereals and tubers,"Rice (basmati, broken)",17.58,0.3051,actual,Retail
15/06/2004,PUNJAB,Lahore,cereals and tubers,"Rice (basmati, broken)",19.79,0.3435,actual,Retail
15/06/2004,PUNJAB,Lahore,cereals and tubers,Wheat flour,12.34,0.2141,actual,Retail
15/06/2004,PUNJAB,Multan,cereals and tubers,"Rice (basmati, broken)",19.00,0.3297,actual,Retail
15/06/2004,PUNJAB,Multan,cereals and tubers,Wheat flour,11.75,0.2039,actual,Retail
15/06/2004,SINDH,Karachi,cereals and tubers,"Rice (basmati, broken)",18.62,0.3232,actual,Retail
15/06/2004,SINDH,Karachi,cereals and tubers,Wheat flour,14.15,0.2457,actual,Retail
15/07/2004,BALOCHISTAN,Quetta,cereals and tubers,"Rice (basmati, broken)",21.00,0.3608,actual,Retail
15/07/2004,BALOCHISTAN,Quetta,cereals and tubers,Wheat flour,13.60,0.2337,actual,Retail
15/07/2004,KHYBER PAKHTUNKHWA,Peshawar,cereals and tubers,"Rice (basmati, broken)",17.86,0.3069,actual,Retail
15/07/2004,KHYBER PAKHTUNKHWA,Peshawar,cereals and tubers,Wheat flour,12.60,0.2165,actual,Retail
15/07/2004,PUNJAB,Lahore,cereals and tubers,Wheat flour,12.66,0.2175,actual,Retail
15/07/2004,PUNJAB,Multan,cereals and tubers,"Rice (basmati, broken)",19.00,0.3265,actual,Retail
15/07/2004,PUNJAB,Multan,cereals and tubers,Wheat flour,12.50,0.2148,actual,Retail
15/07/2004,SINDH,Karachi,cereals and tubers,"Rice (basmati, broken)",19.91,0.3421,actual,Retail
15/07/2004,SINDH,Karachi,cereals and tubers,Wheat flour,14.81,0.2545,actual,Retail
15/08/2004,BALOCHISTAN,Quetta,cereals and tubers,"Rice (basmati, broken)",22.50,0.3843,actual,Retail
15/08/2004,BALOCHISTAN,Quetta,cereals and tubers,Wheat flour,13.75,0.2348,actual,Retail
15/08/2004,KHYBER PAKHTUNKHWA,Peshawar,cereals and tubers,"Rice (basmati, broken)",18.17,0.3103,actual,Retail
